iata,name,city,country,lat,lng
LHR,Heathrow Airport,London,United Kingdom,51.4700,-0.4543
CDG,Charles de Gaulle Airport,Paris,France,49.0097,2.5479
AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.3105,4.7683
BCN,Barcelona-El Prat Airport,Barcelona,Spain,41.2974,2.0833
FCO,Leonardo da Vinci-Fiumicino Airport,Rome,Italy,41.8003,12.2389
VIE,Vienna International Airport,Vienna,Austria,48.1103,16.5697
MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,40.4983,-3.5676
BER,Berlin Brandenburg Airport,Berlin,Germany,52.3622,13.5007
PRG,Vaclav Havel Airport Prague,Prague,Czech Republic,50.1008,14.2600
BUD,Budapest Ferenc Liszt International Airport,Budapest,Hungary,47.4302,19.2623
ZRH,Zurich Airport,Zurich,Switzerland,47.4581,8.5555
CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.6180,12.6560
LYS,Lyon-Saint Exupery Airport,Lyon,France,45.7256,5.0811
MUC,Munich Airport,Munich,Germany,48.3538,11.7861
BRU,Brussels Airport,Brussels,Belgium,50.9010,4.4856
OPO,Francisco de Sa Carneiro Airport,Porto,Portugal,41.2481,-8.6814
VCE,Venice Marco Polo Airport,Venice,Italy,45.5053,12.3519
SPU,Split Airport,Split,Croatia,43.5389,16.2980
IST,Istanbul Airport,Istanbul,Turkey,41.2753,28.7519
JFK,John F. Kennedy International Airport,New York,United States,40.6413,-73.7781
