origin,dest,airline,stops,distance_km,avg_price_eur
LHR,CDG,BA,0,344,96
LHR,AMS,KL,0,370,89
LHR,BCN,BA,0,1146,124
LHR,FCO,BA,0,1444,139
LHR,VIE,OS,0,1275,142
LHR,MAD,IB,0,1244,121
LHR,BER,BA,0,964,105
LHR,PRG,BA,0,1044,118
LHR,ZRH,LX,0,788,131
LHR,CPH,SK,0,978,112
LHR,IST,TK,0,2512,244
CDG,BCN,VY,0,859,74
CDG,FCO,AF,0,1101,104
CDG,AMS,KL,0,398,94
CDG,VIE,AF,0,1036,118
CDG,BER,AF,0,877,99
CDG,LYS,AF,0,412,88
CDG,ZRH,LX,0,476,122
CDG,OPO,TP,0,1201,133
CDG,VCE,VY,0,834,82
CDG,IST,TK,0,2237,215
AMS,BCN,VY,0,1241,109
AMS,FCO,KL,0,1292,127
AMS,CPH,KL,0,633,103
AMS,BER,EZ,0,593,68
AMS,PRG,EZ,0,709,86
AMS,VIE,KL,0,959,124
AMS,IST,KL,0,2210,208
BCN,FCO,VY,0,848,67
BCN,MAD,IB,0,483,59
BCN,VCE,VY,0,951,71
BCN,SPU,VY,0,1202,96
FCO,VCE,AZ,0,412,82
FCO,MAD,IB,0,1329,101
VIE,PRG,OS,0,278,97
VIE,BUD,OS,0,214,111
BER,MUC,LH,0,481,83
MAD,LYS,IB,0,910,112
CPH,ZRH,SK,0,950,142
BRU,MAD,SN,0,1314,108
BUD,FCO,W6,0,817,64
JFK,LHR,BA,0,5554,690
JFK,CDG,AF,0,5834,712
JFK,FCO,AZ,0,6881,798
JFK,IST,TK,0,8042,884
JFK,BCN,DL,0,6164,745
JFK,AMS,KL,0,5848,702
LHR,BUD,W6,0,1490,87
LHR,MUC,LH,0,942,126
VIE,ZRH,LX,0,603,128
CDG,BUD,AF,0,1248,131
